id,graduatingYear,overallScore,curriculum,jobSupport,school_id
287413,2022,5.0,5.0,5.0,11035
287408,2022,4.3,4.0,4.0,11035
287238,2022,5.0,5.0,5.0,11035
287231,2022,4.7,5.0,4.0,11035
287213,2022,5.0,5.0,5.0,11035
287132,2022,5.0,5.0,5.0,11035
287097,2022,4.3,5.0,4.0,11035
287047,2022,5.0,5.0,5.0,11035
287045,2022,5.0,5.0,5.0,11035
287000,2022,4.3,4.0,5.0,11035
286999,2022,4.7,5.0,5.0,11035
286931,2022,4.7,5.0,4.0,11035
286854,2022,5.0,5.0,5.0,11035
286804,2022,4.7,5.0,5.0,11035
286711,2022,4.0,4.0,4.0,11035
286687,2022,4.7,4.0,5.0,11035
286685,2022,5.0,5.0,5.0,11035
286682,2022,3.3,3.0,3.0,11035
286653,2022,4.7,5.0,4.0,11035
286533,2022,4.7,5.0,5.0,11035
286521,2022,4.0,4.0,4.0,11035
286507,2022,4.7,5.0,4.0,11035
286478,2021,5.0,5.0,5.0,11035
286457,2022,4.0,3.0,5.0,11035
286455,2022,5.0,5.0,5.0,11035
286426,2021,4.3,4.0,4.0,11035
286423,2022,4.0,4.0,4.0,11035
286253,2022,5.0,5.0,5.0,11035
286217,2022,4.7,5.0,4.0,11035
286208,2022,5.0,5.0,5.0,11035
286177,2022,4.7,4.0,5.0,11035
286166,2022,5.0,5.0,5.0,11035
286152,2022,5.0,5.0,5.0,11035
286149,2022,4.7,5.0,4.0,11035
286148,2022,4.3,4.0,5.0,11035
286107,2022,4.3,4.0,4.0,11035
286061,2022,4.7,4.0,5.0,11035
286053,2022,5.0,5.0,5.0,11035
286048,2022,5.0,5.0,5.0,11035
285987,2022,4.7,4.0,5.0,11035
285905,2022,4.3,5.0,4.0,11035
285814,2022,5.0,5.0,5.0,11035
285772,2022,5.0,5.0,5.0,11035
285759,2022,3.7,4.0,4.0,11035
285756,2022,5.0,5.0,5.0,11035
285694,2022,5.0,5.0,5.0,11035
285647,2022,5.0,5.0,5.0,11035
285636,2022,5.0,5.0,5.0,11035
285499,2022,5.0,5.0,5.0,11035
285491,2022,4.7,5.0,4.0,11035
285474,2022,4.7,4.0,5.0,11035
285435,2022,4.0,5.0,3.0,11035
285345,2022,5.0,5.0,5.0,11035
285333,2021,5.0,5.0,5.0,11035
